,Character,Sentence
1533,harry,"In a few hours, the Mandrake Draught will be ready."
1204,dumbledore,"Good evening, Hagrid."
1157,harry,And they found it.
271,harry,What was that thing that came?
386,hermione,Broaden your minds. Use your Inner Eye to see the future.
1568,dumbledore,I award 10 points to Neville Longbottom.
1503,hermione,Look. It's Lupin.
822,hermione,Help! Help!
1087,harry,Are you Tom Riddle?
939,dumbledore,Their tears have healing powers.
1181,hermione,He's a werewolf!
666,snape,Turn to page 394.
623,hermione,We'd just found him when he said...
627,dumbledore,"Innocent until proven guilty, Severus."
656,snape,What about Potter?
922,harry,I...I..I was just wondering if you put me in the right house.
1445,hermione,"Okay, go, Harry. Go!"
1083,harry,Malfoy.
1008,snape,Supposed to be your area of expertise.
939,hermione,That thing has a name?
837,hermione,So rude.
1573,harry,Don't worry.
1486,harry,You wait here and try and shift some of this rock so we can get back through.
595,snape,"As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite."
1686,hermione,Congratulations.
315,harry,I know you do.
583,hermione,"Enemies of the Heir, beware."
1442,harry,What?
1089,dumbledore,Riddle! Come.
1230,hermione,You attacked a teacher!
4,harry,Now you’ve done it.
1228,harry,Expelliarmus!
1131,harry,"Oh, no."
1398,harry,This is not normal.
857,snape,We'll be sending Potter to the hospital wing in a matchbox.
273,harry,"What's in there, Hagrid?"
668,hermione,"Sir, we just learned about red caps and hinkypunks."
1190,harry,What's that for?
873,harry,He was their friend and he betrayed them.
606,harry,Can I borrow this? Thanks.
1586,harry,I don't know.
720,hermione,Alohomora
1599,harry,It's just...
1195,harry,I know why.
1615,dumbledore,Which makes you different from Voldemort.
1044,hermione,Do you mind me trying?
523,harry,"Say, Percy, who's that teacher talking to Professor Quirrell?"
110,harry,What are you all doing here?
1037,harry,It's just what I saw.
396,harry,We'll take the lot.
1620,harry,Godric Gryffindor.
530,harry,That's horrible.
1585,hermione,"What's he talking about, Harry?"
926,harry,You're wrong.
16,dumbledore,"Albus, do you really think it's safe, leaving him with these people?"
613,harry,"It's not true, sir. I swear."
1294,harry,"No. Don't worry, okay?"
921,harry,It's the happiest I've ever felt but it's complicated.
392,snape,You were seen by no less than seven Muggles.
1104,dumbledore,"Very well, then. Off you go."
987,harry,You need to sound more like Crabbe.
617,snape,Perhaps Potter and his friends were just in the wrong place at the wrong time.
602,harry,What's Seamus trying to do to that glass of water?
250,harry,I haven't any money.
964,hermione,"Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms."
1543,dumbledore,Ah. Bertie Bott's Every Flavour Beans. 
625,dumbledore,Tell them to search every painting in the castle to find the Fat Lady.
1435,harry,Just like that? How?
42,harry,You can’t have met many decent wizards then.
1559,harry,Does that make sense?
634,hermione,"It's a bit strange, isn't it?"
611,harry,Hey Ron! Somebody broke into Gringotts.
74,harry,Keep away from me.
261,harry,Maybe we've broken down.
585,harry,"Oh, no."
1162,harry,The dog. Where is it?
834,hermione,Harry!
600,dumbledore,"Argus, I..."
1630,hermione,This came with it.
967,hermione,Millicent Bulstrode. Slytherin.
1579,harry,He's free. We did it.
684,hermione,"The question is, who is it?"
707,hermione,Yes 
1397,harry,"Professor, we have some information for you."
350,harry,Maybe we should just go and wait by the car.
513,harry,He'll know what to do.
173,hermione,That's rich coming from the owner of that smelly old shoe brush.
170,hermione,It's in his nature.
8,dumbledore,"Ah, Professor, I would trust Hagrid with my life."
1687,hermione,I can't believe you solved it.
825,hermione,Moaning Myrtle.
798,harry,Where's Hermione?
388,harry,I'm Harry. Harry Potter.
226,harry,And kill me.
1554,harry,Expecto Patronum!
1335,harry,Now more than ever.
897,hermione,"Harry, listen to me."
1535,harry,Thanks.
1149,harry,Come on!
1241,dumbledore,"Calm yourself, Hagrid."
671,hermione,Muggle-borns.
1414,harry,You're a fraud.
1613,harry,Because I asked it to.
703,hermione,Here it is.
240,harry,"But why am I famous, Hagrid?"
1334,harry,We need you.
1439,hermione,Sorry.
20,dumbledore,The only family he has.
162,harry,"I mean, I'm just Harry."
403,harry,Professor Dumbledore.
766,harry,You stopped the barrier from letting Ron and me through.
1045,hermione,"The Grim, possibly."
1346,harry,Expecto Patronum!
933,dumbledore,Pity you had to see him on a burning day.
687,snape,"As an antidote to your ignorance, and on my desk, by Monday morning two rolls of parchment on the werewolf, with emphasis on recognizing it."
285,harry,Hello?
277,harry,What happened to me?
360,harry,Do you hear that?
76,harry,Anytime.
693,snape,There are several ways to become a werewolf.
1310,harry,Arania Exumai!
508,hermione,"You okay, Ron?"
1517,harry,It was my dad.
1082,harry,Why don't we just set him free?
1699,harry,"There's no Hogwarts without you, Hagrid."
1382,snape,Your moment has come at last.
155,harry,But what's he got to do with me?
1196,harry,You betrayed my parents.
287,dumbledore,Welcome! Welcome to another year at Hogwarts.
447,harry,"Hey, Hagrid."
1129,harry,It was Hagrid. 
301,harry,And who owned that wand?
1491,dumbledore,"Well, search the skies, if you must, minister."
938,dumbledore,They can carry immensely heavy loads.
869,hermione,"Ron, look!"
741,harry,"No, Not you."
236,hermione,Harry was lucky not to be expelled.
1501,harry,How?
1416,hermione,Of course.
1258,harry,"Come on, Fang."
1184,harry,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.
1671,harry,Just promise me something.
884,harry,I bet loads of people here can do it.
870,hermione,"Sorry. Sorry. Excuse me, excuse me."
986,harry,We still sound like ourselves.
1685,hermione,It's good to be back.
1136,harry,What would any of us have done?
993,harry,"Hermione, are you okay?"
154,harry,"Sirius Black, you mean?"
680,hermione,McGonagall's worried. 
1451,hermione,Keep trying. Come on. Quickly.
630,hermione,Up. Up. Up!
1338,harry,This is why Hermione was in the library the day she was attacked.
1010,harry,Nicholas Flamel...where are you?
48,harry,"Dobby, shh!"
37,harry,Yeah. I've been beaten loads of times.
920,harry,"Well, it is."
39,harry,"I didn’t mean to offend you, or anything."
1528,dumbledore,"But yes, he will die."
348,harry,We've missed it.
27,dumbledore,"It's not really goodbye, after all."
1038,harry,Thats my dad
284,harry,But someone was screaming.
795,harry,"Stop it, Dobby!"
1281,harry,They think he opened the Chamber of Secrets. Like before.
619,snape,"I, for one, don't recall seeing Potter at dinner."
963,hermione,"Simple, but powerful."
1151,hermione,Duck!
355,harry,"Come on, then. Let's go lower."
551,harry,I think she fancies you.
1463,dumbledore,Look beyond the rocks.
1543,harry,My dad will come.
982,harry,Mischief managed. Nox.
969,hermione,I'm going to go check on the Polyjuice Potion.
202,harry,Mr. Weasley.
1511,hermione,Yeah?
48,harry,My dad wasn't a drunk.
1298,harry,"Well, thank you."
939,harry,But it's the best I have.
359,harry,"There's no such thing, is there?"
210,harry,"Hagrid, Do they mean from a real dragon?"
399,snape,"I assure you that were you in Slytherin, and your fate rested with me... "
1020,harry,You're wrong!
291,hermione,"Of course. That's why he knew to give you the chocolate, Harry."
1184,hermione,Since Professor Snape set the essay.
1055,hermione,Do you remember me telling you that the Polyjuice Potion was only for human transformations?
1500,hermione,We save Sirius.
647,dumbledore,I didn't really expect him to linger.
1555,harry,"You were right, Hermione."
1095,hermione,I think you owe someone an apology.
1157,harry,I just hope I'm wrong.
675,snape,How disappointing.
503,hermione,At least no one on the Gryffindor team had to buy their way in.
989,harry,"If you don't mind, I would appreciate it if you could lower your wand."
1154,harry,Don't worry.
166,harry,"Dear Mr. Potter,"
1053,harry,Hermione?
440,hermione,Did you know?
162,harry,Hedwig.
1430,hermione,"Harry, you're in Hagrid's hut now."
1347,hermione,Harry?
1689,harry,We couldn't have done it without you.
983,snape,Potter.
407,dumbledore,I am well aware of our bylaws having written quite a few of them myself.
876,snape,Vipera Evanesca.
1602,dumbledore,I see.
683,hermione,The Heir of Slytherin has returned to Hogwarts. 
1551,dumbledore,Another year gone. 
1271,harry,Don't panic.
478,hermione,It's just bewitched to look like the night sky.
253,hermione,"I mean, everyone's looking for him."
1493,dumbledore,"Oh, executioner, your services are no longer required."
1222,snape,They're so longing to see you.
1066,hermione,I can't believe they're going to kill Buckbeak. It's just too horrible.
1220,snape,"I could do it, you know."
1360,harry,It's true sir. Sirius is innocent.
676,hermione,"Please, sir."
1566,hermione,We're tied with Slytherin!
952,dumbledore,But I must ask you is there something you wish to tell me?
1547,harry,"All right there, Ron?"
1487,harry,I'll go on and find Ginny.
638,dumbledore,"Secure the castle, Mr. Filch."
1542,harry,Don't worry.
379,hermione,"Now, Ancient Runes, that's a fascinating subject."
657,snape,Should he be warned?
1376,hermione,Lumus Solem!
1607,dumbledore,Not intentionally but yes.
212,harry,Diagonally.
1414,harry,Come on. We should be at Hagrid's.
1310,harry,I didn't think my dad would have wanted his best friends to become killers.
1506,harry,And now we wait.
496,harry,Malfoy?
654,hermione,Professor I was wondering if you could tell us about the Chamber of Secrets.
474,harry,"I think I can tell the wrong sort for myself, thanks."
422,hermione,"Oh, are you doing magic?"
729,harry,I need to know how to fight them.
573,snape,There will be no foolish wand-waving or silly incantations in this class.
1532,dumbledore,That is one of my more brilliant ideas. 
716,harry,if Malfoy is the Heir of Slytherin he could attack half the Muggle-borns in the school by then.
67,harry,"I mean, do you talk to people often?"
1160,harry,Ron.
1602,harry,Pettigrew escaped.
961,hermione,I've got it all worked out.
1479,dumbledore,How extraordinary.
579,harry,I've never seen spiders act like that.
1101,dumbledore,"No, minister. Over this way."
861,hermione,"Ron's right, Harry. "
1374,hermione,"Um Devil's Snare, Devil's Scare,it's deadly fun...but will sulk in the sun! "
1643,dumbledore,The consequences for the one responsible would be severe.
1581,harry,"It's all right, Ginny."
1318,harry,Come on!
1594,dumbledore,"Harry, First, I want to thank you, Harry."
612,harry,Listen.
1195,harry,Did you hear about Hermione?
575,snape,"However, for those select few who possess the predisposition I can teach you how to bewitch the mind and ensnare the senses."
944,dumbledore,Hagriiid!! Relax.
1619,dumbledore,Be careful.
1334,harry,Snoring
693,harry,"I mean, look at his family."
1422,hermione,"Otherwise, he'll think Hagrid set him free."
937,harry,That's the memory I chose.
73,harry,"Mummy, Dad, come here! "
1621,dumbledore,It would take a true Gryffindor to pull that out of the hat.
1523,harry,You see Sirius talking to me there?
1651,harry,I have something of yours.
372,harry,Up! Up!
1433,hermione,We can't be seen.
995,snape,Reveal your secrets.
1102,dumbledore,Is there something you wish to tell me?
1555,dumbledore,"In second place, Ravenclaw, with 426 points"
84,harry,I fell over.
387,harry,we almost get killed by a tree...
953,harry,"No, sir. Nothing"
1242,dumbledore,"If the governors desire my removal I will, of course, step aside."
1552,dumbledore,"And now, as I understand it, the house cup needs awarding, and the points stand thus. "
306,dumbledore,It is not in the nature of a dementor to be forgiving.
1527,dumbledore,He has enough Elixir to set his affairs in order. 
697,hermione,Even they aren't that thick.
815,hermione,He won't keep it. He'll turn it over to Professor McGonagall. Aren't you?
1609,harry,I should be in Slytherin.
572,harry,And then again just...
1360,harry,She only saw the basilisk's reflection.
1551,harry,Sirius.
976,harry,"Come on, let's get them."
1274,harry,We're friends of Hagrid's.
525,hermione,Mudblood's a foul name for someone who's Muggle-born.
898,hermione,There's a reason the symbol of Slytherin house is a serpent.
566,hermione,Harry!
209,harry,One pair of dragon hide gloves.
1533,dumbledore,And between you and me thats saying something.
62,harry,"He doesn't understand what it's like, lying there day after day..."
1526,harry,"When we free him, I'll never have to go back to the Dursleys'."
1364,hermione,Are you okay?
427,hermione,"Well, it's not very good, is it?"
1635,harry,I solemnly swear that I am up to no good.
582,hermione,"The Chamber of Secrets has been opened. 
Enemies of the Heir, beware."
1350,harry,He sent the dementors away.
711,hermione,Dementors aren't supposed to be on the grounds. Dumbledore's furious.
617,hermione,"It's not funny, Ron."
347,harry,The train leaves at exactly 11:00.
1223,snape,Do I detect a flicker of fear?
1340,harry,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.
1085,harry,Excuse me. 
363,harry,"Excuse me Sir, Can you tell me where I might find platform 9 3/4?"
578,harry,Strange.
679,hermione,With each full moon he no longer remembers who he is.
1587,harry,"Honestly, Ron. How can somebody be in two places at once?"
247,hermione,Seems to be. Why?
1256,harry,Look.
36,harry,"Yes, Aunt Petunia."
278,harry,I still need... a wand.
905,hermione,He lived a thousand years ago.
1432,hermione,Awful things happen to wizards who meddle with time Harry.
1653,harry,"I think you do, sir."
1583,harry,"But Hagrid, we're not allowed to do magic away from Hogwarts. You know that."
1127,harry,HAAGRIIID!
702,hermione,Very dangerous.
444,harry,What?
887,hermione,This is bad.
312,hermione,Fear of a name only increases fear of the thing itself.
1395,hermione,"You! You foul, loathsome,evil little cockroach!"
1637,harry,Nox.
968,hermione,I got this off her robes.
1588,dumbledore,There is sufficient evidence to have you both expelled.
1317,harry,Now!
808,dumbledore,It means that our students are in great danger.
1342,harry,Spiders flee before it.
570,harry,"I thought if you signed it, then I could..."
728,hermione,"No! Even with a proper wand, it's too risky."
318,harry,Still doing that after three years.
1027,harry,"Yes, sir."
1164,harry,Hagrid always wanted a dragon. 
163,harry,Just Harry.
806,dumbledore,"Now, Prefects will lead their houses back to the dormitories. "
1280,harry,Get off!
1563,harry,Good job.
1525,hermione,That's great.
659,hermione,What an idiot.
713,hermione,It's forbidden.
926,harry,Expecto Patronum!
256,harry,"Thanks, Ron."
434,hermione,And you are...?
727,harry,"I'm scared, professor."
1522,hermione,Here we come.
987,snape,"He, too, was exceedingly arrogant, strutting about the castle."
418,harry,Yeah.
194,harry,Muggle?
570,harry,We got lost.
1435,hermione,And we aren't leaving?
1452,harry,Buckbeak. Okay?
689,snape,"Then I suggest you take extra care, Mr. Potter."
233,harry,I didn't mean to blow her up. I just...I lost control.
1658,harry,Open it.
583,harry,"I don't know, Sir."
637,hermione,and then Mrs. Norris turns up Petrified. It's just strange.
1032,harry,"Earlier, it showed someone in the castle."
660,harry,Give it here or I'll knock you off your broom!
521,hermione,He called me a Mudblood.
256,harry,Hang on.
811,hermione,Harry!
589,harry,Seems a pity not to ask her.
499,hermione,They take the shape of whatever a person fears the most.
1498,harry,"This way, now."
549,harry,That voice.
862,hermione,You're gonna need your strength today.
1539,harry,Poor Professor Lupin's having a really tough night.
690,hermione,I heard him.
1358,harry,The water.
1234,harry,No. Pettigrew's dead. You killed him!
1438,harry,That hurt.
644,dumbledore,Very good.
385,harry,No. Not at all.
584,hermione,It's written in blood.
0,dumbledore,"I should've known that you would be here, Professor McGonagall."
454,harry,"Brilliant, professor."
927,dumbledore,Harry?
1091,harry,I found him!
955,hermione,Didn't.
1425,harry,That's Pettigrew.
1682,hermione,"Thanks, Sir Nicholas."
970,hermione,Make sure that Crabbe and Goyle find these.
213,harry,"Has this anything to do with Sirius Black, sir?"
220,harry,Sorry.
1275,harry,No!
679,hermione,Yes. Couldn't you tell? 
411,harry,"Hey, he's gone!"
1158,hermione,"We're in the Shrieking Shack, aren't we?"
1595,dumbledore,You must have shown me real loyalty down in the Chamber.
1311,harry,"Besides, dead, the truth dies with him."
1346,harry,It's a snake.
1146,harry,Ron!
1113,harry, Shh!
731,harry,You made the one on the train go away.
711,hermione,We're not supposed to be here. 
574,snape,"As such, I don't expect many of you to appreciate the subtle science and exact art that is potion-making."
1404,hermione,Dumbledore obviously wanted us to return to this moment.
984,harry,Ron.
186,harry,You told me my parents died in a car crash.
421,hermione,"Mandrake, or Mandragora is used to return those who have been Petrified to their original state."
639,dumbledore,"The rest of you, to the Great Hall."
498,hermione,Boggarts are shape-shifters.
1536,harry,Great. Now he's coming for us.
1197,harry,"Look, we have to ask you something."
524,hermione,"It means ""dirty blood."
1546,harry,Albus Dumbledore is the greatest sorcerer in the world.
394,snape,You have risked the exposure of our world.
547,harry,What?
344,harry,Why can't we get through?
57,harry,Are you all right?
896,hermione,"I don't know, but it sounded like you were egging the snake on or something."
772,harry,Your Bludger? You made that Bludger chase after me?
1297,harry,What?
1592,dumbledore,"Now, Mr. Weasley, if you would have an owl deliver these release papers to Azkaban."
1598,dumbledore,"Am I right, Harry?"
791,harry,Repeat itself? You mean this has happened before?
215,harry,Only that he's escaped from Azkaban.
111,harry,Who is that? That man.
1368,hermione,Please believe us.
177,harry,Egypt. What's it like?
694,snape,They include being given the power of shape-shifting being bitten by a werewolf...
1058,harry,Professor Trelawney...
998,snape,Go on.
1063,harry,Looks like Moaning Myrtle's flooded the bathroom.
1373,dumbledore,"Powerful and when meddled with, dangerous."
996,harry,I think the Slytherin common room's this way.
1165,hermione,"If you want to kill Harry, you have to kill us too!"
148,harry,Thank you.
907,harry,I'll see you back in the common room.
1275,harry,And you?
858,snape,Might I suggest someone from my own house?
26,dumbledore,"There, there, Hagrid."
1231,harry,Tell me about Peter.
295,harry,How did he find out?
380,harry,I don't know.
592,snape,"For your information, Potter"
875,harry,I hope he finds me.
1422,harry,Don't even think about it.
1548,hermione,No one's coming.
1035,harry,Peter Pettigrew.
1138,hermione,Why don't we just go and ask him about it?
801,harry,Who is it?
1148,hermione,Ron!
150,harry,"Excuse me, who are you?"
1572,harry,My mother's eyes.
614,harry,"The vault in question, number 713, had, in fact, been emptied earlier that very same day."""
1526,harry,"But Flamel, he'll die, won't he?"
1453,harry,Quickly. Hurry up. Okay?
1601,harry,Certain similarities between Tom Riddle and me.
669,hermione,We're not meant to start that for weeks.
1639,dumbledore,Only this time he chose to act through somebody else by means of this.
898,harry,Expecto Patronum.
1570,dumbledore,Gryffindor wins the House Cup!
1431,harry,"Who was it, Myrtle?"
1095,harry,I knew the name sound familiar.
305,dumbledore,"Therefore, I must warn each and every one of you to give them no reason to harm you."
1065,harry,No. Nothing.
979,harry,Sorry.
1021,harry,"No, sir."
1593,harry,Resigned? Why?
1295,harry,It's fine. I'll stay.
664,snape,"That's not really your concern, is it, Potter?"
1546,harry,Right there. You'll see.
1553,hermione,Harry!
1133,hermione,"Of course! There are other things defending the Stone, aren't there?"
928,harry,I think I've had enough for today.
890,harry,Yes.
36,harry,"Oh, yeah."
1060,harry,She should be out of hospital in a few days when she stops coughing up fur balls.
1384,harry,I don't know. 
478,hermione,We haven't heard the end of this.
762,harry,Dobby?
334,harry,Me? Voldemort tried to kill me?
446,harry,"Hi, Colin. Nice to meet you."
1379,dumbledore,If you succeed tonight more than one innocent life may be spared.
258,hermione,We can't be there yet.
705,hermione,"Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another."
23,dumbledore,Exactly.
1465,dumbledore,Professor Dippet had that ling planted when he was headmaster.
768,harry,You nearly got Ron and me expelled.
1577,harry,One minute. 
1374,dumbledore,Sirius Black is in the topmost cell of the Dark Tower.
1610,dumbledore,It's true. You possess many of the qualities that Voldemort himself prizes.
1134,harry,Ron!
587,snape,"Clearly, fame isn't everything is it, Mr. Potter?"
57,harry,Shut up! Shut up!
1519,hermione,"Harry, but your dad's..."
349,hermione,Me?
267,hermione,"Harry, are you all right?"
436,hermione,Pleasure.
1491,harry,Please wake up.
827,hermione,Moaning Myrtle.
79,harry,I don't care.
1408,hermione,Malfoy's coming.
263,hermione,It's so good to see you.
296,harry,"Sorry, but what's curious?"
616,harry,That's the vault Hagrid and I went to.
1518,dumbledore,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs."
1388,hermione,07:30. Where were we at 7:30?
1071,hermione,Pathetic!
579,snape,Our new celebrity.
1077,harry,My name is Harry Potter.
1043,harry,It's his stomachache.
1372,dumbledore,"Mysterious thing, time."
1342,harry,Sirius!
1457,harry,This way.
811,dumbledore,Tell them Hogwarts is no longer safe.
691,snape,Page 394.
1225,snape,"It's said to be nearly unbearable to witness, but I'll do my best."
1371,dumbledore,"A child's voice, however honest and true is meaningless to those who have forgotten how to listen."
673,snape,"Now, which one of you can tell me the difference between an Animagus and a werewolf?"
1450,hermione,There are more important things. 
1351,harry,I saw him across the lake.
1586,dumbledore,"You both realize, of course that in the past few hours, you have broken perhaps a dozen school rules."
1556,harry,It wasn't my dad I saw earlier. It was me!
654,dumbledore,Not a single professor inside this castle would help Sirius Black enter it.
1206,snape,Vengeance is sweet.
585,harry,Before I fainted I heard something.
286,hermione,"No one was screaming, Harry."
477,hermione,"It's not real, the ceiling. "
1582,harry,It's over.
24,dumbledore,He's far better off growing up away from all of that.
1426,hermione,"Harry, you can't."
1,harry,Lumos Maxima...
381,hermione,A fair few.
1284,harry,Then you're not the monster?
303,dumbledore,Dementors are vicious creatures.
519,dumbledore,Let the feast begin.
228,harry,Mr. Weasley why would I go looking for someone who wants to kill me?
1278,harry,But we'll take him to the castle.
717,harry,It's locked!
108,harry,"Hey, give it back! It's mine!"
1350,harry,Colin saw it through his camera.
1580,dumbledore,Did what?
648,snape,"Remarkable feat, don't you think?"
1037,harry,"You see them, don't you? "
594,snape,A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons.
1175,harry,No.
325,harry,Voldemort?
1590,dumbledore,"Therefore, it is only fitting that you both receive Special Awards for Services to the School."
924,harry,Just do it.
1494,dumbledore,Thank you.
243,harry,"I'm fine, thank you. I was just going..."
439,hermione,"You've got dirt on your nose, by the way."
1603,dumbledore,"Well, you can speak Parseltongue, Harry. Why?"
1289,harry,"But if you're not the monster, then what did kill that girl 50 years ago?"
880,harry,I'm a what?
1444,harry,"Yes, there is."
949,dumbledore,Yes.
56,harry,Please be quiet! 
606,harry,What's going on?
1601,harry,None of it made any difference.
160,harry,"No, you've made a mistake."
1557,harry,I saw myself conjuring the Patronus before.
29,harry,Who are you?
864,harry,You wish.
1165,harry,He told me so the first time I met him.
1632,dumbledore,Beg your pardon?
596,harry,No. No.
869,harry,Rictusempra!
1485,dumbledore,I don't think the minister's suggesting you had anything to do with this.
1530,hermione,Harry!
185,harry,Blown up?
255,harry,"I was lost, I..."
683,snape,"That's the second time you've spoken out of turn, Miss Granger."
899,hermione,Salazar Slytherin was a Parselmouth.
1494,harry,"What do you mean, she won't wake?"
1521,harry,I'm just telling you what I saw.
631,dumbledore,"As I understand it, Madam Sprout has a very healthy growth of Mandrake."
1437,harry,This is it.
1380,dumbledore,"Three turns should do it, I think."
993,harry,Spare bit of parchment.
1361,hermione,Do what I say. Trust me. 
1213,snape,Give me a reason. I beg you!
1524,harry,He's asking me to come live with him.
206,hermione,"Good morning, Mr. Weasley."
678,hermione,A werewolf has no choice.
1357,hermione,They're going to suck out his soul.
576,snape,I can tell you how to bottle fame brew glory and even put a stopper in death.
443,harry,You're doomed.
1611,dumbledore,"Determination, resourcefulness and if I may say so, a certain disregard for the rules."
204,harry,"Yeah, sure."
1339,harry,Come on.
1120,dumbledore,I'd like a cup of tea.
1252,harry,Show me.
1545,dumbledore,But I think I could be safe with a nice toffee...
1249,hermione,"You mean, You-Know-Who's out there, right now, in the forest?"
919,harry,"It's not happy, exactly."
541,harry,Not really.
1134,hermione,Spells and enchantments.
1009,snape,"Clearly, it's full of dark magic."
1218,snape,"You two, quarrelling like an old married couple."
951,hermione,"Well, maybe you should learn to take better care of your pets!"
1449,hermione,Me? Books and cleverness? 
1313,harry,Arania Exumai!
520,harry,"Well, I don't know exactly what it means."
403,harry,"Shut up, Malfoy."
1612,dumbledore,"Why, then, did the Sorting Hat place you in Gryffindor?"
1489,harry,"Ginny! Ginny, please don't be dead."
1345,harry,No. Sirius!
347,hermione,What a load of rubbish.
1642,dumbledore,One hopes that no more of Lord Voldemort's old school-things should find their way into innocent hands.
1113,dumbledore,"On the slope... Ah, Hagrid."
90,harry,Nothing.
890,harry,You were there. You heard me.
999,harry,And request he keep his large nose out of other people's business.
971,harry,"Ron, maybe I should do it."
609,hermione,"When the smoke turns red, it means you've forgotten something."
1561,hermione,Bombarda!
1548,harry,He'll never be gone. 
1473,harry,This way.
1521,harry,And why did you want to meet me?
1024,harry,Harry Potter?
1326,hermione,Harry!
1006,harry,There was no name. 
586,harry,It's Filch's cat.
1143,harry,"What's that you've got, Hagrid?"
1369,dumbledore,"I do, Miss Granger."
1396,harry,At least we can tell him what we know.
1512,harry,"Before, down by the lake, when I was with Sirius I did see someone."
1323,harry,Come on! Pull!
1405,hermione,"Clearly, something happened he wants us to change."
38,harry,"Dobby, ssh! I’m sorry! "
396,snape,that's been on these grounds since before you were born.
665,snape,Suffice it to say your professor finds himself incapable of teaching at the present time.
776,harry,Brilliant! Where did you get it?
397,harry,Bertie Bott's Every Flavor Beans?
908,harry,That's one nasty dementor.
1000,snape,You insolent little...
1344,harry,The monster in the Chamber of Secrets is a basilisk.
1207,snape,How I hoped I'd be the one to catch you.
1007,snape,"Take a look, Lupin."
697,hermione,You won't make a fool of yourself. 
484,dumbledore,"Also, our caretaker, Mr. Filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death."
823,hermione,No. No one ever comes in here.
1549,harry,All right. Hermione?
298,dumbledore,"Fortunately, I'm delighted to announce that his place will be taken by none other than our own Rubeus Hagrid."
1359,hermione,Just relax!
957,hermione,We just need a bit of who you're changing into.
813,dumbledore,The Chamber of Secrets has indeed been opened again.
1636,harry,Mischief managed.
894,harry,But I didn't realize...
709,hermione,Exactly.
575,harry,I think it's going to kill.
525,harry,What's he teach?
1349,hermione,What?
690,snape,Loss of limb will not excuse you.
558,harry,Spooky.
955,dumbledore,Off you go.
609,dumbledore,"But how she has been Petrified, I cannot say."
1596,harry,But Dumbledore...
1072,harry,"But who threw it at you, anyway?"
337,harry,What happened to V...?
1576,harry,"You were brilliant, Fawkes."
856,snape,Weasley's wand causes devastation with the simplest spells.
1321,harry,I know.
399,hermione,I think they're funny.
128,harry,Let go of me!
196,harry,It's all upstairs.
1399,hermione,"This is a Time-Turner, Harry."
1056,hermione,It was cat hair I plucked off Millicent Bulstrode's robes.
992,snape,What's this?
483,dumbledore,"The first years, please note that the Dark Forest is strictly forbidden to all students."
