,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
959,2n Cycle,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
702,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
321,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1173,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1795,Master,Married,40s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
1807,2n Cycle,Together,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
1107,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1098,2n Cycle,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
544,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
746,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1472,Master,Together,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1861,PhD,Together,60s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1952,Master,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1923,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
840,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2200,Master,Married,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
23,Graduation,Together,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
400,Graduation,Single,20s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
248,PhD,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
519,Master,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1813,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2123,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
261,PhD,Together,30s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1287,Master,Together,40s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Web
737,PhD,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
2086,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1024,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1749,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
901,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Web
2074,Graduation,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
414,Graduation,Married,20s,High,Children,Wine,No Fruits,Meat,Sweets,Store
585,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2126,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1227,Basic,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1637,PhD,Widow,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1773,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1970,Graduation,Married,20s,Medium,No Children,No Wine,No Fruits,Meat,Sweets,Web
266,Master,Together,30s,High,No Children,No Wine,Fruits,Meat,Sweets,Store
1189,Master,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
513,PhD,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
517,2n Cycle,Widow,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
136,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
325,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
788,Graduation,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1421,Graduation,Married,40s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
460,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2104,PhD,Married,20s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
1881,PhD,Single,60s,High,No Children,No Wine,No Fruits,No Meat,Sweets,Web
1081,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
113,Master,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
735,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1125,Master,Divorced,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
6,Graduation,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1816,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
462,Graduation,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1273,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
888,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
712,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1248,PhD,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
112,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1259,Graduation,Single,30s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
195,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1108,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
276,Master,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1610,PhD,Divorced,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
989,2n Cycle,Married,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1593,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1369,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
382,PhD,Together,20s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
272,PhD,Together,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
14,PhD,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1089,Graduation,Married,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1076,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
237,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1884,Graduation,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2019,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
226,PhD,Single,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
278,Master,Divorced,60s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
140,Graduation,Married,40s,High,Children,Wine,Fruits,No Meat,Sweets,Web
521,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1815,PhD,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1781,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
139,Master,Married,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1315,Master,Single,20s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Web
2162,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1755,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
615,PhD,Divorced,30s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Web
1996,Basic,Married,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
406,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
708,Graduation,Married,50s,Medium,No Children,Wine,No Fruits,Meat,Sweets,Web
2208,Graduation,Single,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
239,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
771,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
850,2n Cycle,Together,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
1403,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
166,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
697,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
27,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1823,PhD,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1560,PhD,Together,60s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
1407,Graduation,Married,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1538,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
419,2n Cycle,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
200,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1477,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
963,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1130,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1657,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1197,Graduation,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1562,Master,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1298,Master,Single,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
651,Master,Together,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
705,Graduation,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
903,Master,Together,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
71,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2065,Graduation,Single,30s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
110,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1512,Graduation,Together,50s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
44,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1607,Graduation,Together,40s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
1915,Master,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1507,Graduation,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1716,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1882,PhD,Together,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
804,Graduation,Single,50s,Low,No Children,No Wine,No Fruits,Meat,Sweets,Web
1047,Master,Married,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
2170,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1425,Graduation,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1645,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1150,Graduation,Together,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1973,PhD,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1409,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
536,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
156,Graduation,Divorced,50s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
61,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
766,Graduation,Single,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1711,Master,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1803,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
2148,2n Cycle,Divorced,40s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
1920,PhD,Widow,60s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
1907,Graduation,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
390,Graduation,Together,50s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Web
76,2n Cycle,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1504,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1301,2n Cycle,Married,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
346,PhD,Together,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
808,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
1400,Graduation,Together,60s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
1761,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
540,Graduation,Married,40s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Web
2128,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2166,Basic,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1075,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1591,Master,Married,30s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
1345,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
88,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
897,PhD,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
732,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2184,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1157,Basic,Married,80s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
175,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1901,Graduation,Single,30s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Store
1784,Graduation,Together,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
672,PhD,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
412,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2196,Master,Together,20s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
604,PhD,Together,30s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
241,Graduation,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2207,Master,Single,40s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Store
1705,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
374,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
388,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
775,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
301,Master,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2214,Master,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
2173,Graduation,Single,30s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2052,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1309,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1042,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
428,PhD,Married,60s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
93,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1913,PhD,Married,30s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
664,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
593,Graduation,Widow,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
85,PhD,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
670,Graduation,Together,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
364,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1211,PhD,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
767,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
785,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2188,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1111,Graduation,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1480,PhD,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1754,PhD,Married,60s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
284,Master,Together,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
275,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
247,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2020,Graduation,Single,60s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1534,2n Cycle,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1995,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
637,Master,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1897,PhD,Widow,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1559,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1659,Graduation,Married,30s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1570,Graduation,Married,40s,High,No Children,No Wine,Fruits,Meat,Sweets,Store
633,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1415,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
167,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
524,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
947,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
31,PhD,Divorced,50s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
999,Graduation,Single,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
861,Master,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1374,Graduation,Together,30s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
501,PhD,Together,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1779,Graduation,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1878,Graduation,Divorced,60s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Store
2039,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1011,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
952,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
990,Graduation,Together,20s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
623,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1030,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
288,PhD,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
807,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
557,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1860,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1260,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1720,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
274,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1241,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
976,PhD,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
227,Graduation,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1502,Graduation,Single,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1218,PhD,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1839,Master,Single,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1312,Master,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
421,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2018,Graduation,Together,60s,High,Children,Wine,Fruits,Meat,Sweets,Store
1392,PhD,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
56,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
160,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1812,Master,Together,30s,Low,Children,No Wine,Fruits,No Meat,Sweets,Web
2102,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
260,Master,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1490,2n Cycle,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
2206,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
212,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
979,Master,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
208,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
829,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1623,Master,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
355,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1822,PhD,Divorced,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
211,PhD,Together,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
1733,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1889,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
791,Graduation,Married,50s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1818,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
415,2n Cycle,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
286,Master,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
815,PhD,Widow,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1990,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1410,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1072,Graduation,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
429,Graduation,Married,60s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
440,2n Cycle,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
835,Graduation,Single,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1874,Master,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
442,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
635,Master,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1187,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
992,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1748,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1037,2n Cycle,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2140,2n Cycle,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
303,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1830,Graduation,Married,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1855,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1963,Graduation,Married,20s,Low,Children,No Wine,Fruits,Meat,Sweets,Web
910,PhD,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1793,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2119,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1620,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
104,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2031,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
